BOTTLE,20191224JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140514CCHSIOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
  316N145_9,       I07C,682,1,25,25,2,19950705,348,-28.6643,54.4992,4904,1057.6,6.2381,34.464,2,34.4632,2,201.6,2,201.3,2,24.25,2,26.61,2,0,2,1.86,2,-999,9,-999,9,2170,2,2304.5,6
  316N145_9,       I07C,682,1,24,24,2,19950705,348,-28.6643,54.4992,4904,1207.7,4.6445,34.4146,2,34.4171,2,189.3,2,190.2,2,40.29,2,30.64,2,0,2,2.15,2,-999,9,-999,9,2200.8,2,2311.4,2
  316N145_9,       I07C,682,1,23,23,2,19950705,348,-28.6643,54.4992,4904,1360.8,3.7508,34.468,2,34.4688,2,173.9,2,173.8,2,58.4,2,33.03,2,0,2,2.34,2,-999,9,-999,9,2230.3,2,2331.9,2
  316N145_9,       I07C,682,1,22,22,2,19950705,348,-28.6643,54.4992,4904,1511,3.2909,34.5435,2,34.5435,2,167.1,2,167.8,2,71.2,2,33.75,2,0,2,2.39,2,-999,9,-999,9,2247.4,2,2343.5,2
  316N145_9,       I07C,682,1,21,21,2,19950705,348,-28.6643,54.4992,4904,1663.2,2.9362,34.6,2,34.6019,2,169.5,2,168.6,2,77.71,2,33.36,2,0,2,2.38,2,-999,9,-999,9,2252.1,2,2349.2,2
  316N145_9,       I07C,682,1,20,20,2,19950705,348,-28.6643,54.4992,4904,1813.9,2.6704,34.6508,2,34.6502,2,172.2,2,172.8,2,82.92,2,32.64,2,0,2,2.31,2,-999,9,-999,9,2254.7,2,2360.3,2
  316N145_9,       I07C,682,1,19,19,2,19950705,348,-28.6643,54.4992,4904,1964.9,2.502,34.6885,2,34.6888,2,175.2,2,176.2,2,87.2,2,32.12,2,0,2,2.27,2,-999,9,-999,9,2256.5,2,-999,5
  316N145_9,       I07C,682,1,18,18,2,19950705,348,-28.6643,54.4992,4904,2118.1,2.3957,34.7184,2,34.7182,2,178,2,178,2,91.5,2,31.73,2,0,2,2.24,2,-999,9,-999,9,2260.3,2,2369.7,2
  316N145_9,       I07C,682,1,17,17,2,19950705,348,-28.6643,54.4992,4904,2270.8,2.3263,34.7372,2,34.7368,2,180.1,2,181.6,2,91.65,2,31.02,2,0,2,2.2,2,-999,9,-999,9,2257.7,2,2373.6,2
  316N145_9,       I07C,682,1,16,16,2,19950705,348,-28.6643,54.4992,4904,2423.3,2.2183,34.7463,2,34.7446,2,179.9,2,181.2,2,97.29,2,31.4,2,0,2,2.22,2,-999,9,-999,9,2263.9,2,2371.5,2
  316N145_9,       I07C,682,1,15,15,2,19950705,348,-28.6643,54.4992,4904,2576.7,2.1413,34.7515,2,34.7509,2,182.2,2,182.5,2,99.15,2,31.31,2,0,2,2.2,2,-999,9,-999,9,2264.8,2,2379.6,6
  316N145_9,       I07C,682,1,14,14,2,19950705,348,-28.6643,54.4992,4904,2728.5,2.0524,34.747,2,34.7468,2,181.4,3,176.4,2,108.66,2,32.26,2,0,2,2.27,2,-999,9,-999,9,2276.4,2,2375.4,2
  316N145_9,       I07C,682,1,13,13,2,19950705,348,-28.6643,54.4992,4904,2931.9,1.9018,34.7426,2,34.7424,2,178.2,3,175.1,2,116.13,2,32.84,2,0,2,2.32,2,-999,9,-999,9,2283.4,2,2394.9,2
