BOTTLE,20191227JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20020919WHPSIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
      06MT18_1,  A01E,561,1,13,    B42,2,19910905,2242,59.895,-41.51,1898,990.1,3.479,34.8859,2,34.885,2,293.4,2,9.87,2,16.61,4,0,2,1.14,2,3.351,2,1.583,2,2149.2,2,-999,9
      06MT18_1,  A01E,561,1,12,    B44,2,19910905,2242,59.895,-41.51,1898,1091.9,3.456,34.8925,2,34.891,2,289,2,10.06,2,16.41,4,0,2,1.13,2,2.991,2,1.42,2,2149.3,2,-999,9
      06MT18_1,  A01E,561,1,11,    B46,2,19910905,2242,59.895,-41.51,1898,1193,3.4021,34.8921,2,34.892,2,288.9,2,10.26,2,16.22,4,0,2,1.13,2,2.886,2,1.363,2,2149.9,2,-999,9
      06MT18_1,  A01E,561,1,10,    B45,2,19910905,2242,59.895,-41.51,1898,1293.9,3.3411,34.8889,2,34.888,2,289.3,2,10.65,2,16.31,4,0.01,2,1.15,2,2.836,2,1.346,2,2149.7,2,-999,9
      06MT18_1,  A01E,561,1,9,    B52,2,19910905,2242,59.895,-41.51,1898,1395,3.2842,34.8911,2,34.891,2,288,2,10.75,2,16.22,4,0.01,2,1.14,2,2.623,2,1.244,2,2148.6,2,-999,9
      06MT18_1,  A01E,561,1,8,    B40,2,19910905,2242,59.895,-41.51,1898,1495.5,3.2522,34.8961,2,34.896,2,287.7,2,10.36,2,15.92,4,0.01,2,1.13,2,2.653,2,1.26,2,2146.7,2,-999,9
      06MT18_1,  A01E,561,1,7,    B48,2,19910905,2242,59.895,-41.51,1898,1545.2,3.2122,34.8982,2,34.896,2,287.9,2,10.26,2,15.92,4,0.01,2,1.12,2,2.61,2,1.239,2,2146.7,2,-999,9
      06MT18_1,  A01E,561,1,6,    B49,2,19910905,2242,59.895,-41.51,1898,1596.4,3.1843,34.9,2,34.899,2,287,2,10.06,2,15.92,4,0,2,1.12,2,2.506,2,1.186,2,2147.5,2,-999,9
      06MT18_1,  A01E,561,1,5,    B51,2,19910905,2242,59.895,-41.51,1898,1647.1,3.1493,34.9059,2,34.904,2,285.8,2,10.75,2,16.02,4,0,2,1.13,2,2.328,2,1.098,2,2149.2,2,-999,9
      06MT18_1,  A01E,561,1,4,    K30,2,19910905,2242,59.895,-41.51,1898,1748.3,3.0374,34.9064,2,34.905,2,286.2,2,10.84,2,15.83,4,0,2,1.12,2,2.304,2,1.091,2,2149.9,2,-999,9
      06MT18_1,  A01E,561,1,3,     K1,2,19910905,2242,59.895,-41.51,1898,1813.9,2.9315,34.905,2,34.905,2,286.8,2,10.65,2,15.73,4,0,2,1.11,2,2.297,2,1.082,2,2147.4,2,-999,9
      06MT18_1,  A01E,561,1,2,    B50,2,19910905,2242,59.895,-41.51,1898,1831.2,2.9245,34.9052,2,34.904,2,286.7,2,10.45,2,15.73,4,0,2,1.11,2,2.316,2,1.087,2,2150.6,2,-999,9
      06MT18_1,  A01E,561,1,1,    K31,2,19910905,2242,59.895,-41.51,1898,1879.3,2.5618,34.8973,2,34.896,2,290.4,2,10.06,2,15.24,4,0,2,1.09,2,2.552,2,1.201,2,2147.7,2,-999,9
      06MT18_1,  A01E,562,1,24,    B41,4,19910906,251,59.8633,-41.2,2042,9,8.5404,34.7625,2,34.886,4,293,4,9.87,4,17,4,0,4,1.1,4,3.421,2,1.604,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,23,    K22,2,19910906,251,59.8633,-41.2,2042,28.7,8.5364,34.7814,2,34.796,2,288.2,2,1.86,2,6.06,2,0.17,2,0.52,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,22,     K3,2,19910906,251,59.8633,-41.2,2042,59,6.6332,34.935,2,34.956,2,287.6,2,4.59,2,12.01,2,0.46,2,0.89,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,21,    B35,2,19910906,251,59.8633,-41.2,2042,97.4,5.4493,34.9802,2,34.982,2,284.6,2,7.42,2,16.41,2,0.25,2,1.1,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,20,    B37,2,19910906,251,59.8633,-41.2,2042,148.9,5.0527,34.9891,2,34.992,2,287.1,2,8.89,2,16.9,2,0,2,1.12,2,4.147,2,1.962,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,19,    B36,2,19910906,251,59.8633,-41.2,2042,198.4,4.8459,34.9852,2,34.982,2,291,2,9.47,2,17.58,2,0,2,1.17,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,18,    B34,2,19910906,251,59.8633,-41.2,2042,297.8,4.4722,34.955,2,34.956,2,290.6,2,9.38,2,16.9,2,0,2,1.13,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,17,     K4,2,19910906,251,59.8633,-41.2,2042,398,4.1994,34.9374,2,34.937,2,290.5,2,9.47,2,16.9,2,0,2,1.14,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,16,    B39,2,19910906,251,59.8633,-41.2,2042,487.2,4.0116,34.9261,2,34.925,2,288.7,2,9.47,2,16.7,2,0,2,1.13,2,3.544,2,1.671,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,15,    K15,2,19910906,251,59.8633,-41.2,2042,591.1,3.8157,34.9129,2,34.913,2,288.4,2,9.77,2,16.8,2,0,2,1.14,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,14,     K7,2,19910906,251,59.8633,-41.2,2042,790.8,3.484,34.8862,2,34.885,2,293.8,2,9.77,2,17,2,0,2,1.15,2,3.499,2,1.652,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,13,    B42,2,19910906,251,59.8633,-41.2,2042,891.4,3.4001,34.8811,2,34.879,2,292.8,2,9.96,2,16.9,2,0,2,1.15,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,12,    B44,2,19910906,251,59.8633,-41.2,2042,992.8,3.3232,34.8755,2,34.874,2,292.7,2,10.06,2,16.9,2,0,2,1.15,2,3.082,2,1.468,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,11,    B46,2,19910906,251,59.8633,-41.2,2042,1073.1,3.2892,34.8737,2,34.872,2,292.9,2,10.06,2,16.9,2,0,2,1.16,2,3.019,2,1.442,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,10,    B45,2,19910906,251,59.8633,-41.2,2042,1191.1,3.2122,34.8673,2,34.866,2,293.8,2,10.16,2,16.9,2,0,2,1.15,2,2.94,2,1.403,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,9,    B52,2,19910906,251,59.8633,-41.2,2042,1392.5,3.2902,34.8919,2,34.891,2,288.2,2,10.35,2,16.51,2,0,2,1.15,2,2.618,2,1.236,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,8,    B40,2,19910906,251,59.8633,-41.2,2042,1592.5,3.0833,34.9109,2,34.91,2,285.5,2,10.74,2,16.31,2,0,2,1.12,2,2.164,2,1.017,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,7,    B48,2,19910906,251,59.8633,-41.2,2042,1695,2.9644,34.9167,2,34.915,2,284.1,2,11.33,2,16.21,2,0,2,1.12,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,6,    B49,2,19910906,251,59.8633,-41.2,2042,1795.7,2.7936,34.9235,2,34.922,2,282.7,2,12.31,2,16.12,2,0,2,1.14,2,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,562,1,5,    B51,2,19910906,251,59.8633,-41.2,2042,1861.8,2.5148,34.9027,2,34.901,2,289.9,2,10.84,2,15.53,2,0,2,1.09,2,2.339,2,1.097,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,4,    K30,2,19910906,251,59.8633,-41.2,2042,1911.7,2.3979,34.8961,2,34.894,2,293.1,2,9.77,2,15.24,2,0,2,1.08,2,2.607,2,1.226,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,3,     K1,2,19910906,251,59.8633,-41.2,2042,1966.2,2.202,34.8935,2,34.892,2,293.8,2,9.77,2,15.14,2,0,2,1.07,2,2.665,2,1.246,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,2,    B50,2,19910906,251,59.8633,-41.2,2042,2015.7,2.194,34.8935,2,34.892,2,294.8,2,9.67,2,15.14,2,0,2,1.07,2,2.679,2,1.26,2,-999,9,-999,9
      06MT18_1,  A01E,562,1,1,    K31,2,19910906,251,59.8633,-41.2,2042,2026.6,2.195,34.8932,2,34.892,2,294,2,9.77,2,15.14,2,0,2,1.07,2,2.658,2,1.238,2,-999,9,-999,9
      06MT18_1,  A01E,563,1,24,    B41,2,19910906,657,59.8333,-40.8667,2330,26.3,8.2217,34.9244,2,34.932,2,288.3,2,2.54,2,6.35,2,0.14,2,0.53,2,4.081,2,1.953,2,-999,9,-999,9
      06MT18_1,  A01E,563,1,23,    K22,2,19910906,657,59.8333,-40.8667,2330,57.8,7.7841,34.966,2,34.974,2,286,2,3.32,2,8.89,2,0.19,2,0.66,2,-999,9,-999,9,-999,9,-999,9
